FileID,ActorID,SentenceID,Emotion,Intensity,Old_Dur,New_Dur
1001_DFA_ANG_XX,1001,DFA,ANG,XX,2.2755625,1.66
1001_DFA_DIS_XX,1001,DFA,DIS,XX,2.3356875,1.84
1001_DFA_FEA_XX,1001,DFA,FEA,XX,2.1688125,1.58
1001_DFA_HAP_XX,1001,DFA,HAP,XX,1.8685,1.66
1001_DFA_NEU_XX,1001,DFA,NEU,XX,2.035375,1.74
1001_DFA_SAD_XX,1001,DFA,SAD,XX,2.002,1.68
1001_IEO_NEU_XX,1001,IEO,NEU,XX,1.601625,1.3
1001_IOM_ANG_XX,1001,IOM,ANG,XX,2.1354375,1.58
1001_IOM_DIS_XX,1001,IOM,DIS,XX,2.2689375,1.72
1001_IOM_FEA_XX,1001,IOM,FEA,XX,2.8361875,2.06
1001_IOM_HAP_XX,1001,IOM,HAP,XX,2.002,1.5
1001_IOM_NEU_XX,1001,IOM,NEU,XX,2.469125,1.7
1001_IOM_SAD_XX,1001,IOM,SAD,XX,1.93525,1.4
1001_ITH_ANG_XX,1001,ITH,ANG,XX,2.369,1.8
1001_ITH_DIS_XX,1001,ITH,DIS,XX,2.1688125,1.52
1001_ITH_FEA_XX,1001,ITH,FEA,XX,2.102125,1.62
1001_ITH_HAP_XX,1001,ITH,HAP,XX,2.469125,1.94
1001_ITH_NEU_XX,1001,ITH,NEU,XX,2.602625,2.0
1001_ITH_SAD_XX,1001,ITH,SAD,XX,2.369,1.76
1001_ITS_ANG_XX,1001,ITS,ANG,XX,2.56925,2.04
1001_ITS_DIS_XX,1001,ITS,DIS,XX,2.2021875,1.76
1001_ITS_FEA_XX,1001,ITS,FEA,XX,2.1354375,1.68
1001_ITS_HAP_XX,1001,ITS,HAP,XX,2.2021875,1.84
1001_ITS_NEU_XX,1001,ITS,NEU,XX,2.43575,1.98
1001_ITS_SAD_XX,1001,ITS,SAD,XX,2.6693125,2.34
1001_IWL_ANG_XX,1001,IWL,ANG,XX,3.1698125,2.66
1001_IWL_DIS_XX,1001,IWL,DIS,XX,2.56925,1.82
1001_IWL_FEA_XX,1001,IWL,FEA,XX,2.369,1.82
1001_IWL_HAP_XX,1001,IWL,HAP,XX,2.102125,1.62
1001_IWL_NEU_XX,1001,IWL,NEU,XX,2.8361875,2.2
1001_IWL_SAD_XX,1001,IWL,SAD,XX,2.8361875,2.14
1001_IWW_ANG_XX,1001,IWW,ANG,XX,2.2755625,1.98
1001_IWW_DIS_XX,1001,IWW,DIS,XX,2.06875,1.62
1001_IWW_FEA_XX,1001,IWW,FEA,XX,2.2021875,1.58
1001_IWW_HAP_XX,1001,IWW,HAP,XX,1.968625,1.52
1001_IWW_NEU_XX,1001,IWW,NEU,XX,2.2689375,1.96
1001_IWW_SAD_XX,1001,IWW,SAD,XX,2.035375,1.62
1001_MTI_ANG_XX,1001,MTI,ANG,XX,3.003,2.42
1001_MTI_DIS_XX,1001,MTI,DIS,XX,2.93625,2.28
1001_MTI_FEA_XX,1001,MTI,FEA,XX,2.369,1.86
1001_MTI_HAP_XX,1001,MTI,HAP,XX,2.369,1.98
1001_MTI_NEU_XX,1001,MTI,NEU,XX,2.3023125,1.78
1001_MTI_SAD_XX,1001,MTI,SAD,XX,2.3023125,1.7
1001_TAI_ANG_XX,1001,TAI,ANG,XX,2.3356875,1.92
1001_TAI_DIS_XX,1001,TAI,DIS,XX,2.7360625,2.18
1001_TAI_FEA_XX,1001,TAI,FEA,XX,2.402375,1.9
1001_TAI_HAP_XX,1001,TAI,HAP,XX,2.5025,1.86
1001_TAI_NEU_XX,1001,TAI,NEU,XX,2.56925,2.32
1001_TAI_SAD_XX,1001,TAI,SAD,XX,2.8028125,2.14
1001_TIE_ANG_XX,1001,TIE,ANG,XX,3.103125,2.64
1001_TIE_DIS_XX,1001,TIE,DIS,XX,2.2021875,1.76
1001_TIE_FEA_XX,1001,TIE,FEA,XX,2.2355625,1.76
1001_TIE_HAP_XX,1001,TIE,HAP,XX,2.3023125,2.04
1001_TIE_NEU_XX,1001,TIE,NEU,XX,2.535875,1.6
1001_TIE_SAD_XX,1001,TIE,SAD,XX,3.036375,2.28
1001_TSI_ANG_XX,1001,TSI,ANG,XX,2.5025,2.02
1001_TSI_DIS_XX,1001,TSI,DIS,XX,2.1688125,1.6
