FileName,VoiceVote,VoiceLevel,FaceVote,FaceLevel,MultiModalVote,MultiModalLevel,is_correct,filecode
1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78,1.0,N
1001_IEO_HAP_LO,N,71.67,H,57,H,57.38,0.0,H
1001_IEO_HAP_MD,N,67.71,H,62.62,H,56.56,0.0,H
1001_IEO_HAP_HI,H,63.5,H,68.25,H,73.2,1.0,H
1001_IEO_SAD_LO,N,73.71,N,73.5,N,74.8,0.0,S
1001_IEO_SAD_MD,N,42.12,N,82.44,N,72.33,0.0,S
1001_IEO_SAD_HI,N,60.14,A:F,30.67:51.00,N,63.5,0.0,S
1001_IEO_ANG_LO,N,59.57,D,52.6,N,78,0.0,A
1001_IEO_ANG_MD,A:D,37.2:58.6,A,45.5,A,44.2,0.0,A
1001_IEO_ANG_HI,D,67,A,65.56,A,63.25,0.0,A
1001_IEO_FEA_LO,N,73,F:N,66:50,N,65.4,0.0,F
1001_IEO_FEA_MD,F,65.8,F:N,58.25:65.50,F,49.5,1.0,F
1001_IEO_FEA_HI,D:F,81.33:63.67,F,70.33,A,67,0.0,F
1001_IEO_DIS_LO,N,59.57,D,65.12,D,53.8,0.0,D
1001_IEO_DIS_MD,N,72.75,D,75.17,D,62.25,0.0,D
1001_IEO_DIS_HI,A,59.5,A:D,68.75:52.25,D,57.17,0.0,D
1001_TIE_NEU_XX,N,77.8,N,54.75,N,77.6,1.0,N
1001_TIE_HAP_XX,N,64.33,H,80.25,H,63.75,0.0,H
1001_TIE_SAD_XX,N,66.25,N,57.67,N,78.56,0.0,S
1001_TIE_ANG_XX,A,54.8,A,51.4,A,52,1.0,A
1001_TIE_FEA_XX,A,36.86,A,58.8,F,52.56,0.0,F
1001_TIE_DIS_XX,D,45.75,D,64.4,D,69.33,1.0,D
1001_IOM_NEU_XX,N,68.5,N,79.12,N,78,1.0,N
1001_IOM_HAP_XX,N,52.83,H,66.56,H,63.25,0.0,H
1001_IOM_SAD_XX,N,45,N,60.5,N,76.8,0.0,S
1001_IOM_ANG_XX,N,66.57,N,54.83,F:N,64.75:61.50,0.0,A
1001_IOM_FEA_XX,A,67.2,A,67.8,A,55.5,0.0,F
1001_IOM_DIS_XX,N,66,D,53.2,A,55.6,0.0,D
1001_IWW_NEU_XX,N,64.75,N,64.43,N,79.14,1.0,N
1001_IWW_HAP_XX,N,61.33,H,82.09,H,46.43,0.0,H
1001_IWW_SAD_XX,F:N,48.5:49.0,N:S,77.75:61.25,F,48.86,0.0,S
1001_IWW_ANG_XX,D,68.25,A,51.83,A,42,0.0,A
1001_IWW_FEA_XX,A,49.75,A,67.17,A:F,70.25:67.75,0.0,F
1001_IWW_DIS_XX,N,66.8,A:D,39.25:35.75,D,73.67,0.0,D
1001_TAI_NEU_XX,N,48.5,N,57.12,N,85.38,1.0,N
1001_TAI_HAP_XX,N,56.57,H,51.11,H,48.86,0.0,H
1001_TAI_SAD_XX,N,50.83,S,33.6,N,72.25,0.0,S
1001_TAI_ANG_XX,D:N,41.33:89.67,A,71.62,D,50.2,0.0,A
1001_TAI_FEA_XX,A,57.75,F,75.14,F,64.78,0.0,F
1001_TAI_DIS_XX,N,62,A:D,61.0:42.6,A,58.4,0.0,D
1001_MTI_NEU_XX,N,53.75,N,78.29,N,70.86,1.0,N
1001_MTI_HAP_XX,H:N,48.25:77.25,H,51.75,H,80.67,0.0,H
1001_MTI_SAD_XX,N,59.38,N,77.2,N,65.62,0.0,S
1001_MTI_ANG_XX,N,75,N,70.5,N,56.83,0.0,A
1001_MTI_FEA_XX,N,66.75,F,62.4,F,86.6,0.0,F
1001_MTI_DIS_XX,N,63,A,51.6,D,71,0.0,D
1001_IWL_NEU_XX,N,57.88,N,71.5,N,64.5,1.0,N
1001_IWL_HAP_XX,N,51.4,H,82.09,H,63.43,0.0,H
1001_IWL_SAD_XX,N,63.43,S,60,D,34.33,0.0,S
1001_IWL_ANG_XX,A,48.57,A,41,A,54.86,1.0,A
1001_IWL_FEA_XX,A,16.75,F,54.5,A,40,0.0,F
1001_IWL_DIS_XX,N,65.5,D,69.5,A,52.8,0.0,D
