FileID,actorID,Emotion,SentenceID
1091_MTI_HAP_XX,1091,HAP,MTI
1004_IEO_DIS_LO,1004,DIS,IEO
1086_IEO_FEA_HI,1086,FEA,IEO
1080_ITS_HAP_XX,1080,HAP,ITS
1033_TIE_NEU_XX,1033,NEU,TIE
1016_ITH_ANG_XX,1016,ANG,ITH
1082_DFA_NEU_XX,1082,NEU,DFA
1060_TAI_SAD_XX,1060,SAD,TAI
1074_ITH_FEA_XX,1074,FEA,ITH
1070_IEO_SAD_MD,1070,SAD,IEO
1061_DFA_ANG_XX,1061,ANG,DFA
1011_IOM_HAP_XX,1011,HAP,IOM
1056_ITH_ANG_XX,1056,ANG,ITH
1031_IWW_NEU_XX,1031,NEU,IWW
1062_IOM_DIS_XX,1062,DIS,IOM
1006_IWW_FEA_XX,1006,FEA,IWW
1091_IOM_SAD_XX,1091,SAD,IOM
1073_IEO_DIS_HI,1073,DIS,IEO
1035_ITH_DIS_XX,1035,DIS,ITH
1035_ITS_NEU_XX,1035,NEU,ITS
1011_IWW_ANG_XX,1011,ANG,IWW
1003_IOM_DIS_XX,1003,DIS,IOM
1069_TAI_DIS_XX,1069,DIS,TAI
1033_ITS_SAD_XX,1033,SAD,ITS
1001_IWW_ANG_XX,1001,ANG,IWW
1012_TAI_FEA_XX,1012,FEA,TAI
1016_TSI_DIS_XX,1016,DIS,TSI
1089_ITS_ANG_XX,1089,ANG,ITS
1040_IEO_SAD_MD,1040,SAD,IEO
1017_DFA_ANG_XX,1017,ANG,DFA
1057_MTI_FEA_XX,1057,FEA,MTI
1062_TAI_ANG_XX,1062,ANG,TAI
1015_IEO_HAP_MD,1015,HAP,IEO
1049_TIE_HAP_XX,1049,HAP,TIE
1022_ITS_SAD_XX,1022,SAD,ITS
1059_DFA_FEA_XX,1059,FEA,DFA
1091_IEO_ANG_LO,1091,ANG,IEO
1064_IEO_DIS_LO,1064,DIS,IEO
1065_IEO_ANG_MD,1065,ANG,IEO
1075_TIE_NEU_XX,1075,NEU,TIE
1004_MTI_ANG_XX,1004,ANG,MTI
1031_ITS_DIS_XX,1031,DIS,ITS
1064_ITS_HAP_XX,1064,HAP,ITS
1024_DFA_SAD_XX,1024,SAD,DFA
1086_TIE_SAD_XX,1086,SAD,TIE
1029_ITH_NEU_XX,1029,NEU,ITH
1081_MTI_SAD_XX,1081,SAD,MTI
1070_WSI_FEA_XX,1070,FEA,WSI
1046_ITS_ANG_XX,1046,ANG,ITS
1002_DFA_DIS_XX,1002,DIS,DFA
1076_IEO_DIS_HI,1076,DIS,IEO
1030_DFA_FEA_XX,1030,FEA,DFA
1068_IOM_NEU_XX,1068,NEU,IOM
1004_TSI_SAD_XX,1004,SAD,TSI
1083_TSI_FEA_XX,1083,FEA,TSI
1073_ITH_DIS_XX,1073,DIS,ITH
1036_IEO_ANG_MD,1036,ANG,IEO
1085_WSI_DIS_XX,1085,DIS,WSI
1087_TSI_SAD_XX,1087,SAD,TSI
1002_IWW_NEU_XX,1002,NEU,IWW
1072_IOM_HAP_XX,1072,HAP,IOM
1043_TIE_DIS_XX,1043,DIS,TIE
1069_IEO_DIS_LO,1069,DIS,IEO
1009_TIE_HAP_XX,1009,HAP,TIE
1055_IWW_HAP_XX,1055,HAP,IWW
1040_IWW_HAP_XX,1040,HAP,IWW
1058_IWW_HAP_XX,1058,HAP,IWW
1031_IOM_ANG_XX,1031,ANG,IOM
1070_MTI_ANG_XX,1070,ANG,MTI
1054_DFA_SAD_XX,1054,SAD,DFA
1043_DFA_HAP_XX,1043,HAP,DFA
1037_ITS_NEU_XX,1037,NEU,ITS
1042_ITS_DIS_XX,1042,DIS,ITS
1034_TIE_DIS_XX,1034,DIS,TIE
1027_MTI_SAD_XX,1027,SAD,MTI
1070_DFA_FEA_XX,1070,FEA,DFA
1028_IEO_FEA_HI,1028,FEA,IEO
1015_IEO_NEU_XX,1015,NEU,IEO
1021_ITH_HAP_XX,1021,HAP,ITH
1047_IOM_DIS_XX,1047,DIS,IOM
1039_DFA_HAP_XX,1039,HAP,DFA
1034_IEO_DIS_MD,1034,DIS,IEO
1023_IWL_DIS_XX,1023,DIS,IWL
1053_IWW_HAP_XX,1053,HAP,IWW
1031_IEO_HAP_HI,1031,HAP,IEO
1072_MTI_SAD_XX,1072,SAD,MTI
1052_MTI_HAP_XX,1052,HAP,MTI
1081_IEO_HAP_MD,1081,HAP,IEO
1048_IWL_ANG_XX,1048,ANG,IWL
1089_WSI_ANG_XX,1089,ANG,WSI
1054_ITH_HAP_XX,1054,HAP,ITH
1022_DFA_SAD_XX,1022,SAD,DFA
1050_TIE_FEA_XX,1050,FEA,TIE
1025_WSI_FEA_XX,1025,FEA,WSI
1077_IEO_HAP_MD,1077,HAP,IEO
1091_IOM_HAP_XX,1091,HAP,IOM
1024_TIE_DIS_XX,1024,DIS,TIE
1042_DFA_FEA_XX,1042,FEA,DFA
1078_IOM_ANG_XX,1078,ANG,IOM
1091_IOM_FEA_XX,1091,FEA,IOM
1051_IEO_ANG_LO,1051,ANG,IEO
1062_MTI_FEA_XX,1062,FEA,MTI
1020_ITS_ANG_XX,1020,ANG,ITS
1052_IEO_ANG_MD,1052,ANG,IEO
